,내용
0,진짜 그 많은 앨범 다 환경오염임 백장씩 사봤자 그거 다 필요도 없는데
1,김짱준이 에어팟 개 질릴 때마다 인천앞바다에 집어 던지며 엉엉 우는 아방재벌수인것도 아니고 서른세개의 에어팟 자선기부 보다 경유차 매연이 더욱 심각한 환경오염 주범이라는 점 아무래도 따릉이 정기이용권 끊고 열심히 발전기 돌
2,진짜미친새끼같다생리대에돌돌감싸서저멀리바다에던져버리고싶은데환경오염이니까그냥불태워버리고싶다
3,아 저도 좀 보고싶긴 한데 아무래도 오타쿠 영화가 아니고서는 코로나시대에 두문분출 ㅎㅎ 해버렸죠 전 소재에도 흥미를 잘 못느끼겠어요 야 유령이 두렵냐 나는 인플레이션 시대의 내
4,언론탄압 이라길래 곰곰히 생각해봤다 언론이 있어야 탄압도 할게아니냐 그래서 오해없도록 법안이름을 바꿀것을 권한다 폐지재생에 관한 고물법과 환경오염에 대한 고물업자 처벌법
5,근데 진짜 앨범 버전 너무 많은거 환경오염이야 너무 보기 괴로움
6,미니백 빼고 포카만 해도 살텐데 진짜 환경오염의 주범
7,ㄹㅇ 환경오염 개쩖 포카만 따로 팔아줘잉 포카만 따로 팔아도 욕 안할게
8,아하 하긴 아 환경오염버전너무웃기다 속죄하며 도브 뷰티바나 계속쓰겠습니다 플라스틱아웃
9,진짜요 요즘 오히려 환경오염 일으키는데 일조하는게 다름아닌 에코백 텀블러
10,그러나 그들이 친환경을 주제로 제공하는 에코백과 텀블러는 정말 역설적이게도 최근 환경오염을 일으키는데 적지 않은 영향을 미친다고함 에코백 개당 최소 번은 메고 다녀야 텀블러는 개당
11,시발 이게 영어시간이냐 환경오염 캠페인이냐시불
12,뢰알 환경오염 걱정될만큼 쓰레기 많이나와
13,이 커피박을 주목해야 하는 이유는 환경오염의 주범인 플라스틱만큼 중요하다 땅에 버려진 커피박이 메테인 이라는 온실가스를 뿜어내고 있기 때문이다 메테인은 이산화탄소지수 로 이산화탄소의 배에 육박하는
14,ㄱㄴㄲ 환경오염 적당히할필요가잇음
15,환경오염 끝판왕 탈염색도 수십번을 했겠지요 그분은 방구도 뀌고 트름도 하고 파마에 탈염색에 다하면서 에어팟 개 잃어버린거고 진짜 보는 내가 답답하네
16,솔직히 아무리 그이가 내 남편이라고 해도 환경오염의주범으로 욕먹는건 좀 부끄럽네요 제남편에게ㅜ앞으론 앨범을 가상으로 내가지고 아이패드로 쓸수있게끔 조절하도록 하겠습키다 한남자의 아내로써 최선을 다할게요
17,알엠한테 환경오염이라 한 마디 해서 여태 처맞음
18,물 그만 마시세요 환경오염 된다고요
19,니 휴대폰 사용하면서 이런 글 싸질러대는 거가 더 환경오염 되는듯
20,방탄 팬들이 한강에 나무 천그루 심으면 뭐하노 알엠은 에어팟 개나 잃어버리고 환경오염시키는데 재미로 방탄 까는 거 아님 진심으로 화나서 그럼 씨발 나는 분리수거도 광적으로 하고 스벅 종이빨때 물에 녹아서 빵꾸나도 그
21,나는 환경오염보다 랩몬이 더 걱정됨 한두개도아니고 개 잃어버린거면 어디 문제있는거아냐
22,환경오염방지를위한 철저한 지자체의 관리 감독이 잘이뤄질수 있어야 할것입니다 충남도의 깨끗한 자연환경을 잘지켜내는것에도 신경써주시길바랍니다
23,무엇보다 플라스틱 케이스라는게 싫음 안그래도 덕질이 곧 환경오염인데 플라스틱까지
24,나 그것도 싫어함 앨범 존나 사재끼기 하는 거 그거 어차피 듣지도 않고 다 버릴 거짆아 나 아이돌 좋아할 때도 앨범은 딱 한 장씩만 삿는데 환경오염 좆됨 레알
25,안녕하십니다 베스타가 나온지 억년 뒤의 미래에서 온 미래인입니다 청홍님을 기다리던 지구는 환경오염 끝에 안타깝게도 멸망했습니다
26,에어팟 개잃어버렸다는소리를 보면 보통 와 되게 덜렁대나보다 개 살만큼 돈이많은가보다 라고 생각하지않나 갑자기 환경오염얘기가 왜나오는겅미 뭐 그렇게 생각하는건 당연히 자기자유지만 그 생각을 노
27,랩몬씨는 앞집 아줌마도 하고 옆집 할아버지도 하고 윗집 청년도 하고 살아숨쉬는 모든 인간들도 하는 환경오염 을 했지만 피해 당사자 지구 가 사과를 받지 않았고 용서를 하지 않았으므로 그리구 한 번 잃어버리는데에서 멈추
28,엥 에어팟 잃어버림게 왜 그렇게 욕 쳐먹늘 일임 ㅅㅂ 나는 일주일만에 하나 잃어버리고 존나 심장 벌렁이면서 다시 샀는디 존나 부럽기만하구만 환경오염 ㅇㅈㄹ
29,차라리 플라스틱 이용 안할시 예를들면 빨대라거나 텀블러에담아가기 만 했음 좋겠다 에코백 나오기시작했을때 한 년 지나고 에코백이 남아돌아 환경오염을시킨다는 기사가 나온적이 있는데 대충 지금부터 한 년
30,모든 판에 시세차이있지안나 니 숨쉬는것도 환경오염임
31,하루에 물 리터 마신다고 환경오염
32,개 잃어버릴 수 있지 능력되면 계속 살 수 있지 환경오염을 뭐 매번 신경쓸 수는 없는 노릇이긴하지 하지만 뭐가 자랑이라고 나이찬 성인이 개씩이나 주구장창 잃어버리고 사고를 반복했고 그걸 또 지 입으로 말하는 바람에 내
33,잃어버리고 싶어서 잃어버린것도 아니고 왜 그러세요 그리고 구지 알엠으로 예를 들어야 하나요 혼자 환경오염 시키는것도 아니고 인간이 숨 쉬는것만으로도 환경오염이 되는데 말이에요 본인도 지금 환경오염 시키고 계세요
34,파마 하지마세요 환경오염임 베르사이유의 장미 같은 환경운동가님
35,자신이 환경오염이라는 기부 도 안하신 입만 산 환경 운동가님
36,내가 내가말야 진짜 오타쿠인거치고 굿즈 딥따리 안사 돈아깝고 처치곤란이고 환경오염이라서 사봤자 중고매장에서 영화 모은다고 근데 바둑왕은 다보고 보름만에 생전 잘 펼쳐보지도않는
37,제가 방탄이랑 알엠을 싫어해서 나쁜 마음으로 까겠다고 작정하고 쓴 글도 아니고여 환경오염이니 죽어라 뒤져라 이런 말도 안 했고 경각심을 좀 가졋으면 하는 생각에 혼자 쓴 글인데 거기에 몰려와서
38,세상 자기보다 잘나가서 부러우면 부럽다고 하지 굳이 욕들어가면서 콕 찝어서 지랄을 하는지 궁금하다 그럼 체카 신카 번이나 잃어버리고 지갑도 잃어버리진적이 겁나 많은데 나도 환경오염시켰네 어이쿠 죄송해라
39,누구나 분리수거하고 스벅빨대 녹아서 종이맛나도 걍 다 처먹는데 지만 이 세상을 위하는 영웅인척 대단한 일을 한 것처럼 씨부리는거 개그임 에어팟 씨발 잃어버린거 때문에 환경오염 걱정되면 길가에 떨어진 쓰레기나
40,에어팟 개를 잃어버린게 어떻게 환경오염으로 바뀌는지 뇌절친 그 생각을 알고리즘으로 바꿔오세요 장미만 폰트는 최대 입니다
41,세상에마상에 물건잃어버리는걸보고 환경오염이라고 상스러운 욕까지해대면서 가만히있는 연예인 저격하는 장애인은 또 처음보네 할많하않
42,진짜개지랄을처하네걔가맨날밖에만싸돌아다니는것도아니고실내에서잃어버린게적어도 할일텐데분실물센터갔으면갔지뭔환경오염이야걔가에어팟을땅바닥에흘리는것보다니가살면서뀌는방귀랑살면서쓰는일회용품이랑살면서처먹는고기만들어질때죽어나가
43,남이사 에어팟을 세개를 사든 서른개를 사든 에어팟 많이 산다고 환경오염이러고 있네
44,대체 자기는 어떻게 살았길래 환경오염을 운운하지 뭐 통학할때 움막에서 일어나 넝쿨타고 등교했나 근데 그렇게 살면 건강상 문제와 야생동물등의 외부요인으로 단명할텐데 아 산삼 캐먹으면 되는건가
45,진짜죽이고싶어ㅜㅜㅜㅜ 지 휴대폰하는것만으로도환경오염인데
46,네네 제가 살아잇는 것 자체가 환경오염입니다
47,환경오염 해결책이 여기에
48,애초에 씨발ㅜㅜㅜㅜㅜ 휴대폰하는거 자체로 환경오염이 되는데
49,ㅋ울애기가 에어팟 잃어버리는게 환경오염의 주범이라굽쇼 나왜 이거 이제앎 니놈은 숨쉬는게 지구에 민폐다 에라이 어디 입에서 독가스를 내뿜고 자빠졌어 체리야 그래서 그게
50,님은 왜 폰해요 환경오염
51,행복해야할 시간에 미친하이브개샛긔들의 똘추짓과 에어팟 개 산 게 환경오염이라는 별 같잖은 소리까지
52,아 존나룻겨 에어팟 잃어버려서 환경오염 걱정하는거 보니까 참 애잔함 그럼 지는 누가 보면 자연인으로 사는 줄
53,저게 환경오염이면 느그들은 옷도 한벌사면 기본적으로 년은 처 입고 머리는 일주일에 한번씩만 감고 설거지도 물로만 대충해라 병신들아 폰도 년 사용하고 바꾸지말고 년은 써라
54,에어팟 개 잃어버렸다고 환경오염 이지랄하는건 어떻게 받아들여야햌ㅋ 저런 애들이랑 같은 사회에서 살아가야해 이게 맞는거냐 도대체
55,ㅅㅂ 환경오염 아주 대중교통도 이용하지 말지 그래 하다하다 저딴 까글을 본다
56,그것도 문제지만 랩몬포카를 제작한다는 것 자체가 환경오염임 원하는 수요대로 포카 만들어 딴 놈들 할때 걔 혼자 하는거 보고 애잖해 죽겠다
57,이용해본적이 있나요 환경오염을 막기 위해 활동하는 단체에 기부하고 봉사활동해본적이 있나요 이상입니다
58,알엠군 에어팟 분실로 환경오염ㅠㅋ 이라며 욕하기 전에 본인 행동을 뒤돌아보세요 환경오염을 막기 위해 스타벅스에 텀블러를 들고 가 본 적이 있나요 환경오염을 막기 위해 쇼핑 중 비닐쇼핑백을 마다하고 따로
59,이젠 깔것도 없어서 에어팟 잃어버린걸루 까 개를 진짜로 잃어버렷겟냐고 그리고 잃어버리든말든 니가 먼 상관인데 거기서 환경오염이 왜 나와 ㅋㅋㅋㅋㅋ
60,포카가 환경오염이면 모든 물질들은 다 환경오염 덩어리인데요
61,난 또 무슨 환경단체에서 나온 줄 알았더니 자기는 환경오염 덜 한다고 드는 예가 나도 저정도는 하는데 그리고 종이빨대가 아니라 오염이 진짜로 하기 싫었으면 텀블러를 들고 갔어야 하는거 아닌가
62,버젼 세개 쥬얼 맞지 몇장사야하노진심 이환경오염의주범
63,따릉이타고다니는 램몬한테 환경오염 이지랄 인용 방까필망 미친새끼들아ㅡㅡ
64,아니 유튜브는 왜 하시나 환경오염 걱정된다면서 유튜브는 업데이트 이후 로 보기 귀찮아진다고 화내던 사람들 다 어디 감
65,이래서 책 한권 읽은 애들이 무섭다는 거다 전자기기 사용량 올라갈수록 환경오염 된다는 사실 알리는 거 그려 좋다 이거야 근데 굳이 가수가 에어팟 많이 샀다는 트윗에 좋지 않은 뉘앙스로 얘기하는 건 너무
66,쩝 애초에 하도 뭘 부시고 잃어버리니까 에어팟은 안 잃어버렸나 브이앱 질문 들어온거에 대충 그만큼 잃어버렸다는 식으로 답한건데 여기에 환경오염까지 덧붙여서 온라인 환경운동 하는 중
67,나는 에어팟으로 환경오염어쩌구하는 이상황이 너무 웃김 전자기기를 많이 사용할수록 자원이 낭비가 됩니다 면모를까 에어팟잘잃어버린단 말에 발작버튼 눌려서 환경오염좆된다이것들아ㅠ 그러신 분이 왜 트
68,ㅂㅌ이 기부한돈은 에어팟 개랑 비빌수가없는데 환경오염 시킨다고 옘병
69,앨범과 환경오염을 연관 시킬 수는 있겠지만 돌판 성적 입력 방법을 뒤집지 않는 이상 앨범 수출이 낮아질 수 없음 애초에 가수가 돈을 젤 많아 버는 방법이 앨범이고 탄소 배출이 문제라 하면 스트리밍을 하면
70,탐라에 다들 화나계셔 ㅠ 여러분 개빡치지만 음 네 개빡치네여 여기저기 안들쑤시는데가없네 이제는 에어팟으로 환경오염같은소리를 하네 네 그래서 그쪽은 에어팟안잃어버리셔서 환경보호
71,에어팟 개를 읽어버렸다고 해도 국가와 이 지구에 이바지하고 도움준게 훨씬 많으니까 환경오염에 이바지하는 전기로 충전한 핸드폰에 토독거리면서 환경오염 운운하지마세요
72,와 근데 진짜 깔게 없어서 에어팟 개 잃어버린게 환경오염이라고 까는거 처음봄 아이돌하기 힘들다
73,닌 그럼 살아숨쉬지마세요 어차피 쓸모없는데 왜 이산화탄소만 배출하고 휴대폰으로 이딴 글이나 적으면서 환경오염시킴 음식은 왜 먹음 물은 왜 마셔
74,다 닥쳐라 니 친구한테 환경오염 이 소리해봐라 친구 다 잃지 빡대갈들아
75,빈티지옷사는거 환경오염에 도움됀다구그랬는데 쓰레기될뻔한거없애주는거아니여
76,그것은 문제가 아니지만 코주부 너딴 놈들이 살아있는 것 자체가 환경오염임 제발 쓸 때 있는 사람 좀 되자 우리 애들 킹탄할 때 사이버상이라고 존나 당당하게 개지랄하다가 욕 먹는 거 보고 애잖해 죽겠다
77,에어팟 잃어버린게 왜 환경오염인데 걍 주인 손을 떠난거잔아 우리 남준이가 문방구 원짜리 불량식품을 흘렷어 에어팟 흘리면 누가 앗싸하고 주워가지 않겟냐고 니들은 안줍고 강에 던질거냐 으휴
78,인간 생명 중시 삶에 대한 고찰 환경오염에 대한 경각심 통수전개 지극히 영도스러운 글이라고 생각함ㅎ 오버더 시리즈는 이걸로 끝인가 너무너무 아쉽다 티르가 지키는 시골마을에 정 정말 많이 들었는데 부디 후속편도 내주길
79,오늘부터 저는 환경오염이 심각해져 지구가 망해버렸으면 조캣으니 에어팟을 주기적으로 버려서 지구가없어지도록 수십억을 기부해도 에어팟때문에 복구가 안될수준으로 만들갯습이다 감사합니다
80,그치역시우리랩몬오빠보다는 이산화탄소만내뿜는 너네가 더 환경오염가긴하지
81,와 아이돌이 한번 무대하면 환경오염이 어마어마하니 아이돌들 다 죽으라는 말씀인가요 오 님 참 착하시네요
82,살까지나 환경오염에 막대한 영향을 주시네요 근데 포카 정보 좀요 제발 사례금 드릴게요 제발
83,ㅜㅜㅜ그니까요 잃어버린게 환경오염시키려는게 아닌데
84,환경오염이 그렇게 걱정되면 해원이는 샴푸린스로 머리감지말고 창포물로 머리감고 양치할때 치약사용은 금물이고 여름에 에어컨금지에 부채하나 쥐여주고 죽부인 안겨줘라 그리고 해원이집 저녁에 호롱불 하나켜줘라 그
85,아니 콩나물 잃어버린게 아이큐까지 말 나올일이냐 난 걍 남준짱이 남준했군아 그와중에 포기안하고 줏대잇게 계속 사는거 킹받네 이생각만 들던데 과몰입 쌉오져 니가 사주냐 지가 지돈으로 산다는데 환경이 파괴되
86,하 우리판 네임드가 랩몬스터 어쩌구 하면서 에어팟 개 잃어버렸단 얘기하는데 다른 판이 굳 이 팬트윗 찾아서 봐놓고는 환경오염 ㅇㅈㄹ하는 중임ㅋㅋㅋㅋㅋ
87,근데 환경오염은 기업들을 규제시키면 되는 일 진심 드럭스토어 알바 했을 때도 맨날 연출물 보고 버리는 것 보면서 아 진짜 기업들 규제해야 되는데 하고 있는 거 맞나 싶을 정도로 쓰레기 진심 개많이 배출함
88,환경오염을 문제로 삼으실거라면 에어팟을 만드신 회사에 대한 문제제기를 하셔야하지 않나요 지금 한 사람을 환경의식없는 사람으로 만드시고 깟다고 생각을 안하신다니 하지만 본인이 그렇
89,아ㅋㅋ 패스트패션으로 인한 환경오염도 모르는거야 해원이는 오히려 환경보호를 실천하고 있다고 ㅋㅋ
90,환경오염이 왜 써치에 걸리지 그분들 중 누구도 본명이나 예명이 환경오염인 사람이 없는데
91,근데 많이 잃어버린 게 어ㅐ 환경오염 하나 살 돈도 없ㅇ서ㅓ 발작하는건가
92,저는 깟다고 생각 안 하고 이게 사과할 일이라고 생각하지도 않습니다 제가 인신공격이나 무차졀한 폭격을 한 것도 아니고 환경오염이라고 문제제기 한 것에 대해 제가 사과할 일은 없다고 봅니다
93,난 맞춤법도 잘 모르면서 뭐 아는 것마냥 트윗 써대고 매 초 숨쉬면서 환경오염 일으키는 너만 보면 애잔해
94,개웃김 에어팟 잃어버린 게 환경오염이래 그 말같지도 않은 트윗 쓰는 데에는 뭐 자원이 안 쓰일 줄 아나 별 걸 가지고 지랄 그럼 뭐 속세랑 연 끊으시고 어디 산에 들어가 환경오염 하나도 시키지 말고 살던
95,모루겟어요 심지어 죽으라고 욕한 적도 없고 에어팟 개 잃어버린 거 환경오염이라고 한 것뿐인데
96,그거 환경오염이야 혹시 모를까봐 말 해
97,내 눈에 흙이 들어가도 안된다고 하는 사람한테 진짜 눈에 흙 집어넣을거같음 에어팟 개를 읽어버렸다고 해도 국가와 이 지구에 이바지하고 도움준게 훨씬 많으니까 환경오염에 이바지하는 전기로 충전한 핸드폰
98,아니 근데 해원님이 도대체 멀 잘못하신거에요 ㅠ 이해가 안되네 숨쉬듯이 환경오염저지르는 트친도 그냥그런가보다하고있는데 생면부지의 남돌팬이 훈수두는 이유를 모르겟어요
99,트위터에서 재미로 방탄 까는 분위기가 형성돼잇으니까 한 말인데요 그리고 환경오염에 문제제기 좀 하면 안 됩니까
100,니키울때 들어간 돈이 얼만데 그게 다 환경오염의 주범이었네 운다울어 결국 이렇게 됏구나 실사판
101,그리고 난 돈지랄에ㅡ대해 얘기한 적이 없고 환경오염에 대해서만 얘기했음 본문도 그렇고 근데 갑자기 왜 돈지랄 얘기가 나옴 진짜 궁금해서 그럼
102,왜 조롱이 문화가 된 건지 모르겠음 즈그 조롱하면 풀발할 거면서 ㅋㅋ 진짜 느그가 숨 쉬는 게 환경오염임 존나 에어팟 만드는데 자원 어쩌고 이러고 있다
103,환경오염ㅋㅋㄱㄱ애플보고있냐
104,님 휴대폰을 하는것도 환경오염이 된다고 합니다 님이 트위터 죽어라 할 시간에 남준군은 열심히 연습하고 잇을테니 개는 그걸로 퉁치세요 아님 폰도 하지마시든가 ㅠ
105,존나 웃김 ㅋㅋ 이젠 까일게 없어서 하다하다 에어팟 개 잃어버렸다며 환경오염이라고 까이는 월클 아이돌 ㄷㄷ
106,니 방구끼는것두 환경오염인뎅
107,내말이요 진짜 저정도면 환경오염맞는데
108,랩몬씨는 앞집 아줌마도 하고 옆집 할아버지도 하고 윗집 청년도 하고 살아숨쉬는 모든 인간들도 하는 환경오염 을 했지만 피해 당사자 지구 가 사과를 받지 않았고 용서를 하지 않았으므로 그리구 한 번 잃어버
109,그리고 확실히 쓰레기두 줄 듯 마트에 수많은 제품들 쓸데없이 포장 심하게 해서 정말 환경오염에 쓰레기넘치는것은 차치하더라도 뜯는것두 힘들었음 담으론 바다에 그물들두 다 없애버리면 좋겠다
110,환경오염을 위해서라면 화학물질그득한 파마약사용도하면안되지않나요
111,에어팟가지고 개 환경오염이니 뭐니 걍 상대적 박탈감 느꼈다라고 하는게 덜 추함 ㅋㅋㅋㅋㅋ
112,환경오염에 사람이 사는게 제일 해로운데 그렇게 환경걱정할꺼면 그냥 죽으시는게 어떨까요
113,지는ㅋㅋ무슨산속에서만산줄 지도할거다하고누릴거다누려놓고종이빨대빵꾸날때까지써용ㅠㅠ에어팟잃어버리는거환경오염ㅜㅜㅇㅈㄹ하면뭐어쩌라는거
114,해양수산부 해양환경오염 예방치원 규제 강화
115,그래요 꼼꼼하지 못 한 것도 죄인 시대가 왔습니다 여러분 원트윗 논리라면 가수도 죄인일테니 가수 옆자리는 내꺼입니다 ㄴ독방쓰면요 ㄴ엇 근데 독방도 환경오염아닌지ㅠ 독방을 없애야합니다ㅠㅠ
116,트위터에 몇번 올린 적 있는것 같은데 이 책을 다들 읽어 보셨으면 좋겠다 인간에 의한 기후위기에 대한 이해와 함께 최근의 자연재해에 대해 납득하게 됨 지구는 이미 단순 환경오염의 레벨을 넘어섬
117,그냥 인류가 환경오염임
118,알엠이 에어팟 개 잃어버렷대서 환경오염이라고 햇다가 이렇게 됨
119,내 눈에 흙이 들어가도 안된다고 하는 사람한테 진짜 눈에 흙 집어넣을거같음 에어팟 개를 읽어버렸다고 해도 국가와 이 지구에 이바지하고 도움준게 훨씬 많으니까 환경오염에 이바지하는 전기로 충전
120,아무리 싫어도 이건 아니지ㅋㅋㅋㅋ 그럼 에어팟 여러개 잃어버린 사람들 죄다 환경오염 한건가 황당
121,저 트윗 하나 올렷는데 갑자기 아미분들이 몰려와서 인용으로 절 무지막지하게 패고 있어요 제가 인신공격을 한 것도 아니고 환경오염이니 죽어라 이런 말도 안 했는데 이렇게 욕 먹어야하는 이유를 모르겠네요
122,세상 자기보다 잘나가서 부러우면 부럽다고 하지 굳이 욕들어가면서 콕 찝어서 지랄을 하는지 궁금하다 그럼 체카 신카 번이나 잃어버리고 지갑도 잃어버리진적이 겁나 많은데 나도 환경오염시켰네 어이쿠
123,실트에 환경오염 올라감ㅋㅋ
124,이 재난이 빨리 끝났음 좋겠다 이런 상황에 처해지고 상황을 좀 더 가깝게 보고 느낄 수 있게 되니 정말 정말 심각하다는걸 새삼 깨닫고있다 밤낮새벽 할거 없이 고생하시는분들의 인력도 환자가 쓰고 먹은것들을 전
125,지들 먹고 남은 쓰레기 길에 처 버릴 것 같은 사람들이 환경오염 ㅇㅈㄹ
126,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 존나 길가다가 길 잃은 아이 있으면 아이보고 어 환경오염 하지 그러세요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
127,탐라 뭐임 환경오염을 막기위한 거대한 캠페인 세계관 같은건가요
128,환경오염했다는 트윗하나로 저 지랄하고 정말 즈그 옵 퍼포먼스 상 못 받았다고 다른 아이돌보고 몸 팔았다 상 택배로 즈그 옵한테 보내라 하고 여돌이 즈그 옵이랑 친해서 반말한걸로 쌍욕한 안 패도 다니는 곳이 없는 팬덤답다
129,환경오염 시발 ㅋㅋ애초에 팬 주접글로 한 멤버가 에어팟 몇개를 잃어버린다 덤벙댄다 귀엽다 걍 이렇게 흘러가고 있는데 왠 갑자기 그래서 환경오염이다 이 트윗 싸질러놓고 무슨 지가 피코질임 걍 우리가 주접질
130,원트윗에 분리수거 종이빨대ㅋㅋ 를 예시로 쓴 심리는 무엇인가요 나는 에어팟을 세른세번이나 잃어버려 환경오염시킨 사람과 다르다 나는 환경파괴적이지 않다 아닌가요 그런데 님도 옷 사입고 대중교통 이용하고
131,에어팟 개잃어버렸다는소리를 보면 보통 와 되게 덜렁대나보다 개 살만큼 돈이많은가보다 라고 생각하지않나 갑자기 환경오염얘기가 왜나오는겅미 뭐 그렇게 생각하는건 당연히 자기자유지만
